student_id,gender,age,math_score,science_score,english_score,attendance_percentage,study_hours_per_day,parent_education,internet_access,extracurricular_activity,result
1,Male,19,35.0,,51,89,2.4,Postgraduate,No,Yes,Fail
2,Female,19,53.0,88.0,79,53,7.8,Graduate,No,Yes,Pass
3,Male,17,36.0,94.0,38,74,6.0,Graduate,No,No,Pass
4,Male,19,87.0,42.0,70,52,2.4,Graduate,Yes,Yes,Fail
5,Male,21,78.0,87.0,65,81,6.2,High School,No,No,Fail
6,Female,18,66.0,94.0,53,52,4.7,,No,No,Pass
7,Male,23,66.0,39.0,95,76,6.0,Postgraduate,Yes,No,Fail
8,Male,18,89.0,40.0,88,78,6.4,High School,No,Yes,Fail
9,Male,17,90.0,81.0,73,81,1.6,High School,No,Yes,Pass
10,Female,20,51.0,89.0,53,99,4.5,High School,Yes,Yes,Pass
11,Male,23,72.0,,73,68,7.5,Graduate,Yes,No,Fail
12,Male,17,58.0,86.0,79,70,3.2,Graduate,Yes,Yes,Pass
13,Male,24,45.0,50.0,47,54,5.2,Postgraduate,No,No,Pass
14,Male,20,50.0,47.0,92,67,3.6,,No,No,Pass
15,Female,18,93.0,64.0,54,77,,High School,No,Yes,Fail
16,Male,17,37.0,53.0,95,91,4.8,Postgraduate,Yes,No,Fail
17,Female,24,54.0,,73,71,4.8,High School,Yes,Yes,Pass
18,Female,23,93.0,97.0,35,70,2.4,High School,No,Yes,Fail
19,Female,23,70.0,53.0,37,55,5.8,Graduate,No,Yes,Pass
20,Male,22,53.0,92.0,96,50,1.6,,Yes,Yes,Fail
21,Female,24,53.0,89.0,97,54,2.0,Postgraduate,Yes,Yes,Pass
22,Male,21,54.0,96.0,59,90,1.0,Postgraduate,Yes,No,Pass
23,Female,19,86.0,57.0,90,61,1.8,Postgraduate,Yes,No,Fail
24,Female,20,67.0,43.0,67,75,4.3,Graduate,No,No,Pass
25,Female,24,74.0,46.0,72,95,5.2,Graduate,Yes,Yes,Fail
26,Female,22,73.0,35.0,40,83,6.6,High School,No,Yes,Fail
27,Female,19,35.0,92.0,92,98,1.7,High School,No,Yes,Pass
28,Female,19,45.0,35.0,78,63,7.0,High School,No,No,Pass
29,Female,17,91.0,,79,75,6.2,High School,Yes,Yes,Fail
30,Female,19,84.0,82.0,66,94,3.9,Graduate,Yes,No,Pass
31,Male,21,,35.0,79,76,7.5,Postgraduate,Yes,No,Pass
32,Male,23,65.0,50.0,95,58,,,Yes,Yes,Pass
33,Female,22,76.0,95.0,81,75,2.4,High School,No,Yes,Pass
34,Female,19,41.0,98.0,55,96,3.7,Graduate,Yes,No,Pass
35,Female,17,50.0,97.0,70,71,7.5,Postgraduate,Yes,Yes,Fail
36,Male,21,94.0,56.0,53,96,6.1,Postgraduate,No,No,Fail
37,Female,18,36.0,60.0,54,79,1.3,Graduate,Yes,Yes,Pass
38,Male,23,35.0,50.0,91,92,6.5,Graduate,No,Yes,Pass
39,Male,23,82.0,85.0,52,97,6.8,Graduate,No,No,Pass
40,Male,22,,91.0,81,66,6.3,,No,Yes,Fail
41,Male,23,71.0,63.0,83,75,6.6,Graduate,No,No,Pass
42,Male,19,66.0,81.0,48,85,6.8,Graduate,No,Yes,Fail
43,Female,17,43.0,96.0,49,50,2.3,Graduate,No,No,Fail
44,Female,23,53.0,50.0,65,57,2.6,Postgraduate,No,No,Fail
45,Female,23,82.0,82.0,35,98,5.4,Postgraduate,No,Yes,Pass
46,Female,18,37.0,73.0,88,84,7.4,High School,Yes,No,Fail
47,Female,18,54.0,,37,64,3.2,High School,Yes,Yes,Pass
48,Male,20,58.0,,50,96,,Postgraduate,Yes,Yes,Fail
49,Female,21,88.0,44.0,91,71,5.8,Postgraduate,Yes,Yes,Pass
50,Female,19,67.0,68.0,46,63,4.2,Postgraduate,No,No,Fail
51,Male,23,58.0,86.0,50,75,6.0,Graduate,Yes,No,Pass
52,Female,24,70.0,,58,77,7.3,Graduate,No,Yes,Fail
53,Male,23,72.0,53.0,62,72,5.4,Postgraduate,Yes,Yes,Pass
54,Female,17,59.0,92.0,42,63,4.8,Graduate,Yes,No,Pass
55,Male,20,52.0,35.0,70,73,4.1,Graduate,Yes,Yes,Pass
56,Female,21,88.0,38.0,42,51,5.0,High School,No,Yes,Pass
57,Female,24,69.0,50.0,92,94,3.5,,Yes,No,Fail
